TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTrans
23-guadalajara	26-salamanca	4	0.0
36-temascal	35-acapulco	3	755.8354869
13-nuevo_laredo	14-reynosa	2	0.0
30-queretaro	26-salamanca	4	1177.8693723
24-aguascalientes	10-durango	2	0.0
09-chihuahua	12-rio_escondido	1	21.8495207000001
14-reynosa	13-nuevo_laredo	3	92.7162519
34-puebla	36-temascal	3	0.0
23-guadalajara	24-aguascalientes	1	960.0
26-salamanca	31-central	3	500.0
23-guadalajara	29-lazaro_cardenas	3	0.0
31-central	20-tamazunchale	2	103.8409706
22-tepic	06-mazatlan	4	800.0
08-moctezuma	02-cananea	4	150.0
02-cananea	08-moctezuma	3	0.0
10-durango	24-aguascalientes	2	0.0
13-nuevo_laredo	12-rio_escondido	3	0.0
47-ensenada	48-mexicali	2	123.2265455
34-puebla	32-poza_rica	2	357.6133394
46-tijuana	48-mexicali	2	510.0
33-veracruz	32-poza_rica	4	750.0
20-tamazunchale	19-huasteca	1	0.0
29-lazaro_cardenas	23-guadalajara	2	129.6610694
10-durango	06-mazatlan	2	846.4372885
38-tabasco	39-grijalva	1	0.0
39-grijalva	36-temascal	3	0.0
12-rio_escondido	09-chihuahua	3	0.0
11-laguna	10-durango	3	0.0
42-merida	41-lerma	1	0.0
04-los_mochis	03-obregon	1	262.7973033
09-chihuahua	11-laguna	4	0.0
20-tamazunchale	30-queretaro	4	0.0
16-monterrey	12-rio_escondido	4	707.7871356
09-chihuahua	08-moctezuma	4	0.0
15-matamoros	14-reynosa	2	0.0
31-central	30-queretaro	2	0.0
31-central	34-puebla	2	0.0
23-guadalajara	22-tepic	4	1140.8951017
39-grijalva	37-coatzacoalcos	4	0.0
17-saltillo	24-aguascalientes	4	0.0
06-mazatlan	05-culiacan	2	719.8557705
06-mazatlan	10-durango	1	0.0
17-saltillo	16-monterrey	1	0.0
41-lerma	42-merida	3	370.0
26-salamanca	30-queretaro	3	0.0
