load_zone	timestamp	LZ_NetDispatch	LZ_TXNet	lz_demand_mw	DumpPower
04-los_mochis	20160128	0.0	211.1359822	211.1359822	-0.0
04-los_mochis	20190215	0.0	209.6784457	209.6784457	-0.0
04-los_mochis	20210128	0.0	230.55274300000002	230.552743	-0.0
04-los_mochis	20230215	0.0	243.24541209999995	243.2454121	-0.0
24-aguascalientes	20160128	0.0	942.4466983	942.4466983	-0.0
24-aguascalientes	20190215	0.0	976.5993689	976.5993689	-0.0
24-aguascalientes	20210128	0.0	1152.2419439999999	1152.241944	-0.0
24-aguascalientes	20230215	0.0	1174.2717790000002	1174.271779	1.13686837721616e-13
19-huasteca	20160128	997.7694118	-623.8482343	373.9211775	1.13686837721616e-13
19-huasteca	20190215	997.7694118	-629.6566288	368.112783	-0.0
19-huasteca	20210128	997.7694118	-593.9195586000004	403.8498532	2.8421709430404e-14
19-huasteca	20230215	997.7694118	-576.178048	421.5913638	2.27373675443232e-13
42-merida	20160128	0.0	247.73372210000002	247.7337221	-0.0
42-merida	20190215	0.0	257.38250489999996	257.3825049	-0.0
42-merida	20210128	0.0	279.2447972	279.2447972	-0.0
42-merida	20230215	0.0	332.10174259999997	332.1017426	-0.0
52-los_cabos	20160128	80.17956503	0.0	80.17956503	-0.0
52-los_cabos	20190215	77.95764822	0.0	77.95764822	-0.0
52-los_cabos	20210128	89.93898661	0.0	89.93898661	-0.0
52-los_cabos	20230215	96.13715501	0.0	96.13715501	-0.0
51-la_paz	20160128	70.56759587	0.0	70.56759587	-0.0
51-la_paz	20190215	68.61204364	0.0	68.61204364	-0.0
51-la_paz	20210128	79.15705277	0.0	79.15705277	-0.0
51-la_paz	20230215	84.61218142	0.0	84.61218142	-0.0
36-temascal	20160128	2774.5717073	-2324.5071206	450.0645867	-2.8421709430404e-13
36-temascal	20190215	2774.5717073	-2308.6831107	465.8885966	-4.54747350886464e-13
36-temascal	20210128	3804.04145356	-3295.43217956	508.609274	1.70530256582424e-13
36-temascal	20230215	3804.04145356	-3286.08083746	517.9606161	1.13686837721616e-13
15-matamoros	20160128	0.0	216.8160078	216.8160078	-0.0
15-matamoros	20190215	0.0	213.4480442	213.4480442	-0.0
15-matamoros	20210128	0.0	234.1699753	234.1699753	-0.0
15-matamoros	20230215	0.0	244.4572864	244.4572864	-0.0
38-tabasco	20160128	1175.82460484	-656.91017414	518.9144307	1.13686837721616e-13
38-tabasco	20190215	1519.65480472	-982.49564362	537.1591611	-1.13686837721616e-13
38-tabasco	20210128	1026.88256252	-440.46741322	586.4151493	-1.13686837721616e-13
38-tabasco	20230215	1519.65480472	-922.45776652	597.1970382	-1.13686837721616e-13
44-chetumal	20160128	0.0	33.448912939999985	33.44891294	2.8421709430404e-14
44-chetumal	20190215	0.0	34.751687919999995	34.75168792	-0.0
44-chetumal	20210128	0.0	37.70352632000001	37.70352632	-0.0
44-chetumal	20230215	0.0	44.84025098000001	44.84025098	-0.0
02-cananea	20160128	0.0	130.3752763	130.3752763	-0.0
02-cananea	20190215	0.0	129.4752557	129.4752557	-0.0
02-cananea	20210128	30.8098693	111.5551471	142.3650164	-0.0
02-cananea	20230215	30.8098693	119.39279859999999	150.2026679	-0.0
45-cozumel	20160128	15.96554442	0.0	15.96554442	-0.0
45-cozumel	20190215	16.58737366	0.0	16.58737366	-0.0
45-cozumel	20210128	17.99631951	0.0	17.99631951	-0.0
45-cozumel	20230215	21.4027589	0.0	21.4027589	-0.0
26-salamanca	20160128	0.0	567.3339843	567.3339843	-0.0
26-salamanca	20190215	0.0	587.8932061000005	587.8932061	-0.0
26-salamanca	20210128	0.0	693.6265086	693.6265086	-1.13686837721616e-13
26-salamanca	20230215	0.0	706.8880267	706.8880267	1.4210854715202e-13
18-valles	20160128	-0.0	176.0854381	176.0854381	-0.0
18-valles	20190215	-0.0	173.3501726	173.3501726	-0.0
18-valles	20210128	-0.0	190.1793282	190.1793282	-0.0
18-valles	20230215	-0.0	198.5340881	198.5340881	-0.0
49-san_luis_rio_colorado	20160128	-0.0	121.1132883	121.1132883	-0.0
49-san_luis_rio_colorado	20190215	-0.0	109.8378253	109.8378253	-0.0
49-san_luis_rio_colorado	20210128	-0.0	105.6531307	105.6531307	-0.0
49-san_luis_rio_colorado	20230215	-0.0	113.1254409	113.1254409	-0.0
34-puebla	20160128	0.0	1135.104492	1135.104492	-0.0
34-puebla	20190215	0.0	1175.0141079999999	1175.014108	-0.0
34-puebla	20210128	0.0	1282.7596049999997	1282.759605	-0.0
34-puebla	20230215	0.0	1306.344555	1306.344555	-0.0
